板块code,股票代码,股票名称
801001,688525,佰维存储
801001,301373,凌玮科技
801001,301129,瑞纳智能
801001,920876,慧为智能
801001,301308,江波龙
801001,688662,富信科技
801001,300303,聚飞光电
801001,300812,易天股份
801001,001309,德明利
801001,603175,超颖电子
801001,002885,京泉华
801001,603316,诚邦股份
801001,300042,朗科科技
801001,300227,光韵达
801001,002440,闰土股份
801001,300747,锐科激光
801001,300536,农尚环境
801001,003043,华亚智能
801001,601179,中国西电
801001,688766,普冉股份
801001,688372,伟测科技
801001,000988,华工科技
801001,003009,中天火箭
801001,920021,流金科技
801001,603938,三孚股份
801001,300782,卓胜微
801001,688048,长光华芯
801001,688603,天承科技
801001,300831,派瑞股份
801001,603663,三祥新材
801001,688186,广大特材
801001,603499,翔港科技
801001,688432,有研硅  
801001,300323,华灿光电
801001,300814,中富电路
801001,688359,三孚新科
801001,000711,ST京蓝
801001,600714,金瑞矿业
801001,688416,恒烁股份
801001,000519,中兵红箭
801001,600410,华胜天成
801001,002383,合众思壮
801001,688106,金宏气体
801001,300296,利亚德
801001,600468,百利电气
801001,600498,烽火通信
801001,301638,南网数字
801001,603421,鼎信通讯
801001,300179,四方达
801001,300475,香农芯创
801001,301135,瑞德智能
801001,001212,中旗新材
801001,002213,大为股份
801001,300397,天和防务
801001,002346,柘中股份
801001,002652,扬子新材
801001,301592,六九一二
801001,688179,阿拉丁  
801001,301571,国科天成
801001,688788,科思科技
801001,300102,乾照光电
801001,300594,朗进科技
801001,600406,国电南瑞
801001,300350,华鹏飞
801001,300376,易事特
801001,002881,美格智能
801001,301326,捷邦科技
801001,002536,飞龙股份
801001,688233,神工股份
801001,300414,中光防雷
801001,688419,耐科装备
801001,600525,ST长园  
801001,002298,中电鑫龙
801001,002903,宇环数控
801001,300097,ST智云
801001,688102,斯瑞新材
801001,300140,节能环境
801001,301259,艾布鲁
801001,600006,东风股份
801001,300353,东土科技
801001,002985,北摩高科
801001,301021,英诺激光
801001,300514,友讯达
801001,300322,硕贝德
801001,002028,思源电气
801001,300643,万通智控
801001,301499,维科精密
801001,600078,澄星股份
801001,300828,锐新科技
801001,301117,佳缘科技
801001,600378,昊华科技
801001,688035,德邦科技
801001,688375,国博电子
801001,003005,竞业达
801001,688027,国盾量子
801001,920026,卓兆点胶
801001,688090,瑞松科技
801001,300726,宏达电子
801001,300373,扬杰科技
801001,603986,兆易创新
801001,002471,中超控股
801001,300460,ST惠伦
801001,605178,时空科技
801001,603088,宁波精达
801001,600379,宝光股份
801001,688795,摩尔线程
801001,600973,宝胜股份
801001,688727,恒坤新材
801001,600879,航天电子
801001,301568,思泰克
801001,603120,肯特催化
801001,688028,沃尔德  
801001,002658,雪迪龙
801001,688611,杭州柯林
801001,002281,光迅科技
801001,000672,上峰水泥
801001,300283,温州宏丰
801001,300263,隆华科技
801001,600487,亨通光电
801001,002208,合肥城建
801001,920961,创远信科
801001,920249,利尔达
801001,688110,东芯股份
801001,002169,智光电气
801001,000559,万向钱潮
801001,000021,深科技
801001,300302,同有科技
801001,603123,翠微股份
801001,688809,强一股份
801001,300975,商络电子
801001,300936,中英科技
801001,000422,湖北宜化
801001,688205,德科立  
801001,603005,晶方科技
801001,000818,航锦科技
801001,688008,澜起科技
801001,000962,东方钽业
801001,603929,亚翔集成
801001,300715,凯伦股份
801001,688227,品高股份
801001,688332,中科蓝讯
801001,301235,华康洁净
801001,688387,信科移动
801001,300745,欣锐科技
801001,688709,成都华微
801001,600667,太极实业
801001,000620,盈新发展
801001,301071,力量钻石
801001,300192,科德教育
801001,300545,联得装备
801001,300810,中科海讯
801001,002851,麦格米特
801001,300223,北京君正
801001,002963,豪尔赛
801001,002131,利欧股份
801001,300120,经纬辉开
801001,000628,高新发展
801001,688498,源杰科技
801001,300405,科隆股份
801001,920402,硅烷科技
801001,002055,ST得润
801001,603977,国泰集团
801001,002455,百川股份
801001,300001,特锐德
801001,300731,科创新源
801001,002165,红宝丽
801001,002428,云南锗业
801001,600658,电子城  
801001,001255,博菲电气
801001,002151,北斗星通
801001,601727,上海电气
801001,688361,中科飞测
801001,002453,华软科技
801001,002334,英威腾
801001,000547,航天发展
801001,002977,天箭科技
801001,001358,兴欣新材
801001,002290,禾盛新材
801001,002465,海格通信
801001,600605,汇通能源
801001,300201,海伦哲
801001,002344,海宁皮城
801001,301563,云汉芯城
801001,688380,中微半导
801001,000056,皇庭国际
801001,301348,蓝箭电子
801001,601137,博威合金
801001,300236,上海新阳
801001,300667,必创科技
801001,300195,长荣股份
801001,002741,光华科技
801001,600372,中航机载
801001,300763,锦浪科技
801001,300513,恒实科技
